,Task#,Seed,Gravity,Length,Force_mag,Episode,Score
0,0,0,1,9.8,10.0,0,34.0
1,0,0,1,9.8,10.0,1,45.666666666666664
2,0,0,1,9.8,10.0,2,38.333333333333336
3,0,0,1,9.8,10.0,3,26.666666666666668
4,0,0,1,9.8,10.0,4,41.333333333333336
5,0,0,1,9.8,10.0,5,26.666666666666668
6,0,0,1,9.8,10.0,6,27.0
7,0,0,1,9.8,10.0,7,40.666666666666664
8,0,0,1,9.8,10.0,8,19.666666666666668
9,0,0,1,9.8,10.0,9,20.666666666666668
10,0,0,1,9.8,10.0,10,17.333333333333332
11,0,0,1,9.8,10.0,11,27.333333333333332
12,0,0,1,9.8,10.0,12,16.0
13,0,0,1,9.8,10.0,13,33.0
14,0,0,1,9.8,10.0,14,17.666666666666668
15,0,0,1,9.8,10.0,15,32.0
16,0,0,1,9.8,10.0,16,19.333333333333332
17,0,0,1,9.8,10.0,17,33.0
18,0,0,1,9.8,10.0,18,34.0
19,0,0,1,9.8,10.0,19,33.333333333333336
20,0,0,1,9.8,10.0,20,25.0
21,0,0,1,9.8,10.0,21,53.333333333333336
22,0,0,1,9.8,10.0,22,33.333333333333336
23,0,0,1,9.8,10.0,23,29.666666666666668
24,0,0,1,9.8,10.0,24,29.0
25,0,0,1,9.8,10.0,25,25.0
26,0,0,1,9.8,10.0,26,26.666666666666668
27,0,0,1,9.8,10.0,27,15.333333333333334
28,0,0,1,9.8,10.0,28,18.333333333333332
29,0,0,1,9.8,10.0,29,29.333333333333332
30,0,0,1,9.8,10.0,30,22.333333333333332
31,0,0,1,9.8,10.0,31,28.666666666666668
32,0,0,1,9.8,10.0,32,28.333333333333332
33,0,0,1,9.8,10.0,33,20.0
34,0,0,1,9.8,10.0,34,19.666666666666668
35,0,0,1,9.8,10.0,35,23.333333333333332
36,0,0,1,9.8,10.0,36,15.333333333333334
37,0,0,1,9.8,10.0,37,26.333333333333332
38,0,0,1,9.8,10.0,38,24.333333333333332
39,0,0,1,9.8,10.0,39,19.333333333333332
40,0,0,1,9.8,10.0,40,26.666666666666668
41,0,0,1,9.8,10.0,41,32.0
42,0,0,1,9.8,10.0,42,29.0
43,0,0,1,9.8,10.0,43,41.333333333333336
44,0,0,1,9.8,10.0,44,31.333333333333332
45,0,0,1,9.8,10.0,45,36.666666666666664
46,0,0,1,9.8,10.0,46,23.333333333333332
47,0,0,1,9.8,10.0,47,34.0
48,0,0,1,9.8,10.0,48,28.333333333333332
49,0,0,1,9.8,10.0,49,20.0
50,0,0,1,9.8,10.0,50,18.0
51,0,0,1,9.8,10.0,51,32.666666666666664
52,0,0,1,9.8,10.0,52,22.333333333333332
53,0,0,1,9.8,10.0,53,16.0
54,0,0,1,9.8,10.0,54,24.333333333333332
55,0,0,1,9.8,10.0,55,19.666666666666668
56,0,0,1,9.8,10.0,56,36.666666666666664
57,0,0,1,9.8,10.0,57,19.0
58,0,0,1,9.8,10.0,58,20.0
59,0,0,1,9.8,10.0,59,17.666666666666668
60,0,0,1,9.8,10.0,60,15.0
61,0,0,1,9.8,10.0,61,16.333333333333332
62,0,0,1,9.8,10.0,62,18.666666666666668
63,0,0,1,9.8,10.0,63,36.666666666666664
64,0,0,1,9.8,10.0,64,28.333333333333332
65,0,0,1,9.8,10.0,65,37.0
66,0,0,1,9.8,10.0,66,19.666666666666668
67,0,0,1,9.8,10.0,67,32.666666666666664
68,0,0,1,9.8,10.0,68,23.333333333333332
69,0,0,1,9.8,10.0,69,51.333333333333336
70,0,0,1,9.8,10.0,70,27.0
71,0,0,1,9.8,10.0,71,27.0
72,0,0,1,9.8,10.0,72,30.333333333333332
73,0,0,1,9.8,10.0,73,37.333333333333336
74,0,0,1,9.8,10.0,74,31.666666666666668
75,0,0,1,9.8,10.0,75,28.0
76,0,0,1,9.8,10.0,76,24.0
77,0,0,1,9.8,10.0,77,24.666666666666668
78,0,0,1,9.8,10.0,78,33.666666666666664
79,0,0,1,9.8,10.0,79,20.333333333333332
80,0,0,1,9.8,10.0,80,23.0
81,0,0,1,9.8,10.0,81,35.0
82,0,0,1,9.8,10.0,82,30.0
83,0,0,1,9.8,10.0,83,28.0
84,0,0,1,9.8,10.0,84,23.666666666666668
85,0,0,1,9.8,10.0,85,27.333333333333332
86,0,0,1,9.8,10.0,86,49.333333333333336
87,0,0,1,9.8,10.0,87,25.666666666666668
88,0,0,1,9.8,10.0,88,55.333333333333336
89,0,0,1,9.8,10.0,89,25.0
