,Task#,Seed,Gravity,Length,Force_mag,Episode,Score
0,0,0,1,9.8,10.0,0,53.6
1,0,0,1,9.8,10.0,1,53.2
2,0,0,1,9.8,10.0,2,32.1
3,0,0,1,9.8,10.0,3,38.0
4,0,0,1,9.8,10.0,4,32.3
5,0,0,1,9.8,10.0,5,37.4
6,0,0,1,9.8,10.0,6,33.8
7,0,0,1,9.8,10.0,7,25.6
8,0,0,1,9.8,10.0,8,31.8
9,0,0,1,9.8,10.0,9,33.8
10,0,0,1,9.8,10.0,10,39.6
11,0,0,1,9.8,10.0,11,29.8
12,0,0,1,9.8,10.0,12,32.4
13,0,0,1,9.8,10.0,13,39.7
14,0,0,1,9.8,10.0,14,28.6
15,0,0,1,9.8,10.0,15,21.3
16,0,0,1,9.8,10.0,16,31.0
17,0,0,1,9.8,10.0,17,27.8
18,0,0,1,9.8,10.0,18,38.1
19,0,0,1,9.8,10.0,19,24.5
20,0,0,1,9.8,10.0,20,33.0
21,0,0,1,9.8,10.0,21,27.6
22,0,0,1,9.8,10.0,22,32.6
23,0,0,1,9.8,10.0,23,33.8
24,0,0,1,9.8,10.0,24,33.7
25,0,0,1,9.8,10.0,25,34.3
26,0,0,1,9.8,10.0,26,34.1
27,0,0,1,9.8,10.0,27,25.7
28,0,0,1,9.8,10.0,28,21.3
29,0,0,1,9.8,10.0,29,26.8
30,0,0,1,9.8,10.0,30,32.1
31,0,0,1,9.8,10.0,31,33.6
32,0,0,1,9.8,10.0,32,27.4
33,0,0,1,9.8,10.0,33,24.6
34,0,0,1,9.8,10.0,34,27.7
35,0,0,1,9.8,10.0,35,24.0
36,0,0,1,9.8,10.0,36,22.1
37,0,0,1,9.8,10.0,37,18.7
38,0,0,1,9.8,10.0,38,20.5
39,0,0,1,9.8,10.0,39,24.6
40,0,0,1,9.8,10.0,40,31.7
41,0,0,1,9.8,10.0,41,25.6
42,0,0,1,9.8,10.0,42,28.4
43,0,0,1,9.8,10.0,43,21.4
44,0,0,1,9.8,10.0,44,24.1
45,0,0,1,9.8,10.0,45,21.7
46,0,0,1,9.8,10.0,46,27.2
47,0,0,1,9.8,10.0,47,27.2
48,0,0,1,9.8,10.0,48,36.4
49,0,0,1,9.8,10.0,49,25.0
50,0,0,1,9.8,10.0,50,28.2
51,0,0,1,9.8,10.0,51,29.1
52,0,0,1,9.8,10.0,52,33.9
53,0,0,1,9.8,10.0,53,33.7
54,0,0,1,9.8,10.0,54,23.6
55,0,0,1,9.8,10.0,55,33.4
56,0,0,1,9.8,10.0,56,33.3
57,0,0,1,9.8,10.0,57,30.6
58,0,0,1,9.8,10.0,58,24.1
59,0,0,1,9.8,10.0,59,27.9
60,0,0,1,9.8,10.0,60,31.1
61,0,0,1,9.8,10.0,61,34.7
62,0,0,1,9.8,10.0,62,29.9
63,0,0,1,9.8,10.0,63,26.9
64,0,0,1,9.8,10.0,64,35.9
65,0,0,1,9.8,10.0,65,30.9
66,0,0,1,9.8,10.0,66,35.3
67,0,0,1,9.8,10.0,67,30.1
68,0,0,1,9.8,10.0,68,35.8
69,0,0,1,9.8,10.0,69,34.5
70,0,0,1,9.8,10.0,70,36.7
71,0,0,1,9.8,10.0,71,32.3
72,0,0,1,9.8,10.0,72,37.9
73,0,0,1,9.8,10.0,73,24.3
74,0,0,1,9.8,10.0,74,28.5
75,0,0,1,9.8,10.0,75,29.4
76,0,0,1,9.8,10.0,76,25.4
77,0,0,1,9.8,10.0,77,31.4
78,0,0,1,9.8,10.0,78,27.1
79,0,0,1,9.8,10.0,79,30.3
80,0,0,1,9.8,10.0,80,46.5
81,0,0,1,9.8,10.0,81,36.1
82,0,0,1,9.8,10.0,82,36.5
83,0,0,1,9.8,10.0,83,28.1
84,0,0,1,9.8,10.0,84,25.3
85,0,0,1,9.8,10.0,85,31.1
86,0,0,1,9.8,10.0,86,21.8
87,0,0,1,9.8,10.0,87,24.1
88,0,0,1,9.8,10.0,88,30.7
89,0,0,1,9.8,10.0,89,26.2
90,0,0,1,9.8,10.0,90,23.9
91,0,0,1,9.8,10.0,91,28.8
92,0,0,1,9.8,10.0,92,40.2
93,0,0,1,9.8,10.0,93,46.9
94,0,0,1,9.8,10.0,94,33.6
95,0,0,1,9.8,10.0,95,31.6
96,0,0,1,9.8,10.0,96,31.4
97,0,0,1,9.8,10.0,97,28.2
98,0,0,1,9.8,10.0,98,26.8
99,0,0,1,9.8,10.0,99,22.2
100,0,0,1,9.8,10.0,100,25.8
101,0,0,1,9.8,10.0,101,46.7
102,0,0,1,9.8,10.0,102,31.6
103,0,0,1,9.8,10.0,103,52.0
104,0,0,1,9.8,10.0,104,36.8
105,0,0,1,9.8,10.0,105,45.6
106,0,0,1,9.8,10.0,106,40.4
107,0,0,1,9.8,10.0,107,36.8
108,0,0,1,9.8,10.0,108,32.6
109,0,0,1,9.8,10.0,109,26.9
110,0,0,1,9.8,10.0,110,43.2
111,0,0,1,9.8,10.0,111,24.4
112,0,0,1,9.8,10.0,112,36.5
113,0,0,1,9.8,10.0,113,30.2
114,0,0,1,9.8,10.0,114,29.1
115,0,0,1,9.8,10.0,115,23.9
116,0,0,1,9.8,10.0,116,30.6
117,0,0,1,9.8,10.0,117,47.7
118,0,0,1,9.8,10.0,118,42.2
119,0,0,1,9.8,10.0,119,28.7
120,0,0,1,9.8,10.0,120,26.5
121,0,0,1,9.8,10.0,121,30.9
122,0,0,1,9.8,10.0,122,25.6
